City	Rank	Population	State
New York	8405837	1	New York
Los Angeles	3884307	2	California
Chicago	2718782	3	Illinois
Houston	2195914	4	Texas
Philadelphia	1553165	5	Pennsylvania
Phoenix	1513367	6	Arizona
San Antonio	1409019	7	Texas
San Diego	1355896	8	California
Dallas	1257676	9	Texas
San Jose	998537	10	California
Austin	885400	11	Texas
Indianapolis	843393	12	Indiana
Jacksonville	842583	13	Florida
San Francisco	837442	14	California
Columbus	822553	15	Ohio
Charlotte	792862	16	North Carolina
Fort Worth	792727	17	Texas
Detroit	688701	18	Michigan
El Paso	674433	19	Texas
Memphis	653450	20	Tennessee
Seattle	652405	21	Washington
Denver	649495	22	Colorado
Washington	646449	23	District of Columbia
Boston	645966	24	Massachusetts
Nashville-Davidson	634464	25	Tennessee
Baltimore	622104	26	Maryland
Oklahoma City	610613	27	Oklahoma
Louisville/Jefferson County	609893	28	Kentucky
Portland	609456	29	Oregon
Las Vegas	603488	30	Nevada
Milwaukee	599164	31	Wisconsin
Albuquerque	556495	32	New Mexico
Tucson	526116	33	Arizona
Fresno	509924	34	California
Sacramento	479686	35	California
Long Beach	469428	36	California
Kansas City	467007	37	Missouri
Mesa	457587	38	Arizona
Virginia Beach	448479	39	Virginia
Atlanta	447841	40	Georgia
Colorado Springs	439886	41	Colorado
Omaha	434353	42	Nebraska
Raleigh	431746	43	North Carolina
Miami	417650	44	Florida
Oakland	406253	45	California
Minneapolis	400070	46	Minnesota
Tulsa	398121	47	Oklahoma
Cleveland	390113	48	Ohio
Wichita	386552	49	Kansas
Arlington	379577	50	Texas
New Orleans	378715	51	Louisiana
Bakersfield	363630	52	California
Tampa	352957	53	Florida
Honolulu	347884	54	Hawaii
Aurora	345803	55	Colorado
Anaheim	345012	56	California
Santa Ana	334227	57	California
St. Louis	318416	58	Missouri
Riverside	316619	59	California
Corpus Christi	316381	60	Texas
Lexington-Fayette	308428	61	Kentucky
Pittsburgh	305841	62	Pennsylvania
Anchorage	300950	63	Alaska
Stockton	298118	64	California
Cincinnati	297517	65	Ohio
St. Paul	294873	66	Minnesota
Toledo	282313	67	Ohio
Greensboro	279639	68	North Carolina
Newark	278427	69	New Jersey
Plano	274409	70	Texas
Henderson	270811	71	Nevada
